Index,TS_File_Name,Declared_Duration(s),Actual_Duration(s),Difference(s),File_Size(KB),Status
1,"2025-12-15_10-27-29-000000.ts",9.73,9.733123,0.00312300000000043,2603.9,"[OK]"
2,"2025-12-15_10-27-36-000000.ts",7.91,7.906233,-0.00376699999999985,2276.6,"[OK]"
3,"2025-12-15_10-27-44-000000.ts",8.07,8.068433,-0.00156699999999965,2287.6,"[OK]"
4,"2025-12-15_10-27-52-000000.ts",7.99,7.993533,0.00353300000000001,2614.9,"[OK]"
5,"2025-12-15_10-28-15-000000.ts",9.8,9.800667,0.000666999999999973,2371.1,"[OK]"
6,"2025-12-15_10-28-22-000000.ts",6.23,6.226356,-0.00364400000000042,1426.2,"[OK]"
7,"2025-12-15_10-28-28-000000.ts",8,7.998333,-0.00166700000000031,2311.6,"[OK]"
8,"2025-12-15_10-28-36-000000.ts",9.81,9.811411,0.00141099999999916,3264.1,"[OK]"
9,"2025-12-15_10-29-01-000000.ts",9.66,9.663266,0.00326599999999999,2337.5,"[OK]"
10,"2025-12-15_10-29-08-000000.ts",8.05,8.052112,0.00211199999999856,2607,"[OK]"
11,"2025-12-15_10-29-16-000000.ts",7.94,7.943544,0.00354399999999977,2607.9,"[OK]"
12,"2025-12-15_10-29-24-000000.ts",8,8.003800,0.00380000000000003,2645,"[OK]"
13,"2025-12-15_10-29-47-000000.ts",9.61,9.612367,0.00236700000000134,2121.8,"[OK]"
14,"2025-12-15_10-29-54-000000.ts",8.08,8.076711,-0.00328900000000054,2490.3,"[OK]"
