Index,TS_File_Name,Declared_Duration(s),Actual_Duration(s),Difference(s),File_Size(KB),Status
1,"2025-12-15_10-27-29-000000.ts",9.73,9.733123,0.00312300000000043,2603.9,"[OK]"
2,"2025-12-15_10-27-36-000000.ts",7.91,7.906233,-0.00376699999999985,2276.6,"[OK]"
3,"2025-12-15_10-27-44-000000.ts",8.07,8.068433,-0.00156699999999965,2287.6,"[OK]"
4,"2025-12-15_10-27-52-000000.ts",7.99,7.993533,0.00353300000000001,2614.9,"[OK]"
5,"2025-12-15_10-28-15-000000.ts",9.8,9.800667,0.000666999999999973,2371.1,"[OK]"
6,"2025-12-15_10-28-22-000000.ts",6.23,6.226356,-0.00364400000000042,1426.2,"[OK]"
7,"2025-12-15_10-28-28-000000.ts",8,7.998333,-0.00166700000000031,2311.6,"[OK]"
8,"2025-12-15_10-28-36-000000.ts",9.81,9.811411,0.00141099999999916,3264.1,"[OK]"
9,"2025-12-15_10-29-01-000000.ts",9.66,9.663266,0.00326599999999999,2337.5,"[OK]"
10,"2025-12-15_10-29-08-000000.ts",8.05,8.052112,0.00211199999999856,2607,"[OK]"
11,"2025-12-15_10-29-16-000000.ts",7.94,7.943544,0.00354399999999977,2607.9,"[OK]"
12,"2025-12-15_10-29-24-000000.ts",8,8.003800,0.00380000000000003,2645,"[OK]"
13,"2025-12-15_10-29-47-000000.ts",9.61,9.612367,0.00236700000000134,2121.8,"[OK]"
14,"2025-12-15_10-29-54-000000.ts",8.08,8.076711,-0.00328900000000054,2490.3,"[OK]"
15,"2025-12-15_10-30-02-000000.ts",7.98,7.983844,0.00384399999999996,2573.6,"[OK]"
16,"2025-12-15_10-30-10-000000.ts",8.04,8.044356,0.00435600000000136,2437.8,"[OK]"
17,"2025-12-15_10-30-31-000000.ts",9.51,9.507323,-0.00267700000000026,2670.2,"[OK]"
18,"2025-12-15_10-30-38-000000.ts",7.95,7.945367,-0.00463300000000011,2542.6,"[OK]"
19,"2025-12-15_10-30-46-000000.ts",8.11,8.113744,0.00374400000000108,2577.8,"[OK]"
20,"2025-12-15_10-30-54-000000.ts",7.96,7.962578,0.00257799999999975,2648,"[OK]"
21,"2025-12-15_10-31-17-000000.ts",9.72,9.716189,-0.00381100000000067,2637.3,"[OK]"
22,"2025-12-15_10-31-24-000000.ts",8.07,8.072533,0.00253299999999967,2627.2,"[OK]"
23,"2025-12-15_10-31-32-000000.ts",7.96,7.959000,-0.00100000000000033,2557.5,"[OK]"
24,"2025-12-15_10-31-40-000000.ts",8.03,8.034700,0.00470000000000148,2664.1,"[OK]"
25,"2025-12-15_10-32-03-000000.ts",9.78,9.782934,0.00293399999999977,2596.6,"[OK]"
26,"2025-12-15_10-32-10-000000.ts",7.89,7.890311,0.00031099999999995,2651.3,"[OK]"
27,"2025-12-15_10-32-18-000000.ts",7.9,7.899333,-0.000666999999999973,2604.3,"[OK]"
28,"2025-12-15_10-32-26-000000.ts",10.18,10.181222,0.00122200000000028,3061.1,"[OK]"
29,"2025-12-15_10-32-49-000000.ts",9.65,9.650200,0.000199999999999534,2650.5,"[OK]"
30,"2025-12-15_10-32-56-000000.ts",7.96,7.963189,0.00318899999999989,2463.8,"[OK]"
31,"2025-12-15_10-33-04-000000.ts",8.05,8.052733,0.00273299999999921,2530.7,"[OK]"
32,"2025-12-15_10-33-12-000000.ts",7.99,7.991544,0.00154399999999999,2530.5,"[OK]"
33,"2025-12-15_10-33-35-000000.ts",9.74,9.739289,-0.000711000000000794,2600.1,"[OK]"
34,"2025-12-15_10-33-42-000000.ts",8.05,8.053811,0.0038109999999989,2617.9,"[OK]"
35,"2025-12-15_10-33-50-000000.ts",8.01,8.009967,-3.30000000001718E-05,2590.7,"[OK]"
36,"2025-12-15_10-33-58-000000.ts",8,8.000333,0.000332999999999473,2660.5,"[OK]"
37,"2025-12-15_10-34-21-000000.ts",9.61,9.611789,0.00178900000000048,2679.6,"[OK]"
38,"2025-12-15_10-34-28-000000.ts",7.97,7.973367,0.0033669999999999,2578.9,"[OK]"
39,"2025-12-15_10-34-36-000000.ts",8.14,8.137544,-0.00245600000000046,2553.8,"[OK]"
40,"2025-12-15_10-34-44-000000.ts",7.91,7.907067,-0.00293300000000052,2609.2,"[OK]"
41,"2025-12-15_10-35-07-000000.ts",9.66,9.658033,-0.0019670000000005,2175.6,"[OK]"
42,"2025-12-15_10-35-14-000000.ts",7.91,7.907611,-0.00238899999999997,1395.1,"[OK]"
43,"2025-12-15_10-35-22-000000.ts",8.07,8.073300,0.00329999999999941,1506,"[OK]"
44,"2025-12-15_10-35-30-000000.ts",7.85,7.847067,-0.00293299999999963,2615.1,"[OK]"
45,"2025-12-15_10-35-53-000000.ts",9.92,9.916644,-0.00335600000000014,2112.1,"[OK]"
46,"2025-12-15_10-36-00-000000.ts",7.92,7.918456,-0.00154399999999999,2362.1,"[OK]"
47,"2025-12-15_10-36-08-000000.ts",8.01,8.005367,-0.00463300000000011,2709.8,"[OK]"
48,"2025-12-15_10-36-16-000000.ts",8.03,8.033622,0.00362200000000001,2582.1,"[OK]"
49,"2025-12-15_10-36-39-000000.ts",9.67,9.669144,-0.000856000000000634,2297.5,"[OK]"
50,"2025-12-15_10-36-46-000000.ts",8.04,8.039544,-0.00045599999999979,2667.1,"[OK]"
51,"2025-12-15_10-36-54-000000.ts",10.14,10.138412,-0.00158799999999992,2637.1,"[OK]"
52,"2025-12-15_10-37-04-000000.ts",5.86,5.864322,0.00432199999999927,1684.7,"[OK]"
53,"2025-12-15_10-37-25-000000.ts",9.75,9.753800,0.00380000000000003,2607.4,"[OK]"
54,"2025-12-15_10-37-32-000000.ts",7.96,7.959044,-0.000956000000000401,2354,"[OK]"
55,"2025-12-15_10-37-40-000000.ts",8.06,8.059545,-0.000455000000000538,2465.5,"[OK]"
56,"2025-12-15_10-37-48-000000.ts",8.07,8.069367,-0.00063300000000055,2556.7,"[OK]"
57,"2025-12-15_10-38-27-000000.ts",9.69,9.689845,-0.000154999999999461,2186.4,"[OK]"
58,"2025-12-15_10-38-34-000000.ts",8.01,8.014911,0.00491099999999989,2060.7,"[OK]"
